Event ID,Match ID,Alliance Color,Team 1,Team 2,Team 3,Overall Score,Overall Difference,Auto Score,Auto Difference,Hangar Score,Hangar Difference,Penalty Score,Penalty Difference,Result
2022flwp,2022flwp_qm37,blue,frc1592,frc59,frc8817,22,-51,4,-18,6,-9,8,8,Loss
2022flwp,2022flwp_qm37,red,frc3932,frc179,frc5410,73,51,22,18,15,9,0,-8,Win
2022flwp,2022flwp_qm38,blue,frc4481,frc2183,frc7833,40,17,10,4,12,6,0,-4,Win
2022flwp,2022flwp_qm38,red,frc4471,frc744,frc7403,23,-17,6,-4,6,-6,4,4,Loss
2022flwp,2022flwp_qm39,blue,frc1523,frc4707,frc7442,16,-12,6,0,6,0,4,4,Loss
2022flwp,2022flwp_qm39,red,frc8324,frc2383,frc21,28,12,6,0,6,0,0,-4,Win
2022flwp,2022flwp_qm4,blue,frc108,frc4592,frc5842,19,-51,6,-12,0,-16,0,0,Loss
2022flwp,2022flwp_qm4,red,frc4206,frc4481,frc5472,70,51,18,12,16,16,0,0,Win
2022flwp,2022flwp_qm40,blue,frc7652,frc8754,frc2641,22,-12,14,4,6,6,0,0,Loss
2022flwp,2022flwp_qm40,red,frc4206,frc1592,frc5410,34,12,10,-4,0,-6,0,0,Win
2022flwp,2022flwp_qm41,blue,frc2190,frc5842,frc7403,20,12,10,2,0,0,0,0,Win
2022flwp,2022flwp_qm41,red,frc8817,frc4471,frc3164,8,-12,8,-2,0,0,0,0,Loss
2022flwp,2022flwp_qm42,blue,frc59,frc4707,frc179,60,14,12,-6,30,30,0,-4,Win
2022flwp,2022flwp_qm42,red,frc7442,frc4481,frc108,46,-14,18,6,0,-30,4,4,Loss
2022flwp,2022flwp_qm43,blue,frc2183,frc348,frc6686,21,-13,10,2,6,-6,4,4,Loss
2022flwp,2022flwp_qm43,red,frc7833,frc5472,frc744,34,13,8,-2,12,6,0,-4,Win
2022flwp,2022flwp_qm44,blue,frc4592,frc1744,frc3932,17,-24,8,-12,0,-10,0,0,Loss
2022flwp,2022flwp_qm44,red,frc2168,frc3627,frc8324,41,24,20,12,10,10,0,0,Win
2022flwp,2022flwp_qm45,blue,frc4471,frc1523,frc2190,20,4,6,0,6,0,0,-4,Win
2022flwp,2022flwp_qm45,red,frc4707,frc7652,frc3164,16,-4,6,0,6,0,4,4,Loss
2022flwp,2022flwp_qm46,blue,frc8754,frc7442,frc2383,46,15,12,4,14,8,4,4,Win
2022flwp,2022flwp_qm46,red,frc6686,frc8817,frc4206,31,-15,8,-4,6,-8,0,-4,Loss
2022flwp,2022flwp_qm47,blue,frc7833,frc2641,frc1744,16,-11,6,4,6,-6,0,0,Loss
2022flwp,2022flwp_qm47,red,frc5472,frc5410,frc4592,27,11,2,-4,12,6,0,0,Win
2022flwp,2022flwp_qm48,blue,frc179,frc744,frc108,99,64,18,6,27,21,8,8,Win
2022flwp,2022flwp_qm48,red,frc2183,frc1592,frc5842,35,-64,12,-6,6,-21,0,-8,Loss
2022flwp,2022flwp_qm49,blue,frc21,frc2168,frc3932,59,-9,20,4,20,4,0,-4,Loss
2022flwp,2022flwp_qm49,red,frc4481,frc8324,frc59,68,9,16,-4,16,-4,4,4,Win
2022flwp,2022flwp_qm5,blue,frc348,frc3932,frc4471,19,2,8,4,0,-4,4,4,Win
2022flwp,2022flwp_qm5,red,frc8754,frc7833,frc2190,17,-2,4,-4,4,4,0,-4,Loss
2022flwp,2022flwp_qm50,blue,frc7403,frc5472,frc1523,52,4,14,4,12,0,0,-4,Win
2022flwp,2022flwp_qm50,red,frc348,frc3627,frc2383,48,-4,10,-4,12,0,4,4,Loss
2022flwp,2022flwp_qm51,blue,frc4707,frc1592,frc4592,8,-76,4,-14,0,-30,4,4,Loss
2022flwp,2022flwp_qm51,red,frc5842,frc6686,frc179,84,76,18,14,30,30,0,-4,Win
2022flwp,2022flwp_qm52,blue,frc21,frc7652,frc4471,10,-47,10,-8,0,-6,0,0,Loss
2022flwp,2022flwp_qm52,red,frc4206,frc7442,frc3932,57,47,18,8,6,6,0,0,Win
